id,osm_id,name,category,lat,lon,geom,region,last_osm_update,last_user_update,created_at
22f6daf4-c831-4d70-9691-da2edcaca407,1014954,Ciné Rex,cinema,46.4928487,7.5628558,0101000020E6100000A77455455D401E4025308CAA153F4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
3df305f9-9cb4-438c-b6d6-88e72e516e54,1228781,Unknown,fuel,46.8785984,7.5423261,0101000020E6100000A4117D88572B1E40B22891E975704740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
a4001491-e3ec-4849-9738-90dc452183cd,5702030,Migrol,fuel,46.6805465,7.8274119,0101000020E6100000EF48AB10454F1F402174D0251C574740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
4c31e0e6-7117-4a8d-81b7-344b43d40463,5702071,Avia,fuel,46.6834149,7.8445587,0101000020E61000008835F0FED3601F40B08CB2237A574740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
80051286-e513-4da7-8c49-5d069292cc9b,6080794,Hotel Hari,hotel,46.4963455,7.5650366,0101000020E6100000112C58F498421E402502D53F883F4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
55e43c39-e0c4-489b-83c1-f44e44411e08,6081329,Parkhotel Bellevue,hotel,46.4922042,7.5562312,0101000020E6100000310FF4AB94391E4018FA168C003F4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
22662ebd-72f8-43dd-acc0-d79804cfc4b9,8082505,Unknown,fuel,46.6838171,7.6644266,0101000020E6100000B15E56725FA81E400879985187574740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
5ed201f4-10b6-4634-8cf6-95c3c1b23a54,8096510,Unknown,pub,46.7290902,8.4470009,0101000020E6100000AD904D4DDDE42040C46AE2D3525D4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
6e3827cb-4900-4167-8ced-b9329b087d20,8204263,Snack-Buvette Belvédère,cafe,46.57737,8.387538,0101000020E61000001CEA77616BC6204084D89942E7494740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
58ab31b1-9ce2-4d08-9b77-d23603752c44,17407058,Moveri Burgdorf,fuel,47.0547266,7.6253785,0101000020E6100000747CB43863801E40539CFE4701874740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
09108956-8f86-4109-b1f0-61985cbe0c77,18476816,Gourmet Party Service,restaurant,47.0445969,7.5054728,0101000020E6100000F81164A99A051E406280E959B5854740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
459d401e-9d27-4b01-b511-180e4f1e5f5a,20600208,Unknown,bank,46.0188441,8.9422989,0101000020E6100000121D5D0075E221407D9CC47B69024740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
e6c3d6a7-435a-40f5-b1fa-70e65282512a,24977789,Arnisee,restaurant,46.7745393,8.6436726,0101000020E61000009FA97C748F492140BE7B911A24634740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
9fd25be4-ad0a-4799-b05d-31a59f09fcd9,24977794,Lehnhof,restaurant,46.8810098,8.6450032,0101000020E610000075A103DC3D4A21404E3ADBEDC4704740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
6c711557-5064-428c-ac55-5bb3022f4665,24977799,Apertura,restaurant,46.9078166,8.6244846,0101000020E610000017B60B72BC3F214009E2975533744740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
09950356-c793-45c8-bf38-8d7aa6740232,24977802,Schützenhaus,pub,46.8758194,8.6646742,0101000020E61000006CFD3E2D50542140E619A0D91A704740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
90b74c68-034a-4a6c-a375-7f8c7a4f511d,24982110,Ospizio del San Gottardo,hotel,46.5553845,8.5679416,0101000020E61000006913CC3DC9222140481ADCD616474740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
a684f253-4943-4e0b-ab3e-2438268cda74,26054765,Wilhelm Tell,restaurant,46.8826227,8.6411012,0101000020E61000004BDA9E6A3E482140869AD7C7F9704740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
84d92c05-58db-403f-8dea-5c5a132ee90a,26806049,Aebi,pub,46.4844942,7.520732,0101000020E610000035ECF7C43A151E40040DECE7033E4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
54d76a5c-b551-44bb-9b63-c9fa7ef1a98b,27069561,SOCAR Zur Schmiede,fuel,47.3963906,8.6233174,0101000020E6100000350E5075233F21408DB85BEDBCB24740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
e6da43bd-e5c6-4ad2-9d9e-2170c3d1a5ab,27125026,BP Garage Tresch,fuel,47.4010933,8.6199554,0101000020E61000000BF54FCB6A3D21408612770657B34740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
9b505620-69ac-4c93-977b-1ae1f3edf786,27515786,Froburg,restaurant,47.3826348,7.8917349,0101000020E6100000ADCE20F422911F40DF27582DFAB04740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
4f0a4548-f6ce-434b-aa6a-b00d2c624f56,29455086,Kiwi,cinema,47.4987786,8.7261242,0101000020E610000017AB178DC6732140EB7827FAD7BF4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
4143ae1a-20ad-43ed-bfe5-eb85fda7296c,29455088,Loge,bar,47.49859,8.7313532,0101000020E61000005FA637ED737621406B0E10CCD1BF4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
9425c905-17f7-4cd0-94e5-92c78814c779,29881492,Shell Rheinfall,fuel,47.686119,8.621418,0101000020E61000009D4A06802A3E2140051555BFD2D74740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
23444da9-bdb7-4c8b-babc-9c5a07b1acd0,29881496,Unknown,fuel,47.6822764,8.6093701,0101000020E61000000C52955BFF372140936A44D554D74740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
6a950a70-e7bb-4372-a4a3-c3fa924022e7,29882004,Unknown,fuel,47.6799675,8.6064702,0101000020E610000046FF154383362140E36BCF2C09D74740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
da2fde17-a501-4a35-b5d4-c13cde1efd34,29885121,Wegmüller,fuel,47.6773289,8.6005845,0101000020E610000012F8C3CF7F3321405D11A1B6B2D64740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
079284d1-96bb-464e-8984-7249d56478bf,30011079,Bär - Benzin und Diesel,fuel,47.714297,8.5161525,0101000020E61000004E7FF62345082140C25087156EDB4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
3b73a7b5-0491-42c2-b4c6-8a4fc5a546a0,30859233,Berghaus Ramslauenen,restaurant,46.5802537,7.7088136,0101000020E610000011D77B3BD3D51E400671D4C0454A4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
a48e64a8-4b6d-4538-891d-98350388c008,30985827,Kindergarten Waldpark,kindergarten,47.6819896,8.6052119,0101000020E6100000D04C8B55DE352140271B6A6F4BD74740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
e10931b6-04ad-4b8e-a90a-336422b100a4,31054226,Bushaltestelle Rheinhaldenstrasse,toilets,47.6921488,8.6522466,0101000020E6100000B9DA2F44F34D21409AFBF55498D84740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
7ab500d4-b4cd-4a2a-a2b4-e40e43a4fec2,31372648,Restaurant Landhus,restaurant,47.5435477,8.1327083,0101000020E6100000C5D0A057F243204073A895F892C54740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
6645cbce-f30e-4b28-8883-58ec650acb92,31737225,Kinderklinik,clinic,46.9693422,7.4857403,0101000020E61000009C65BBE765F11D40FCD0BB67137C4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
